id,chess960_games,chess960_rating,chess960_rd,chess960_prog,chess960_prov,puzzle_games,puzzle_rating,puzzle_rd,puzzle_prog,puzzle_prov,racingKings_games,racingKings_rating,racingKings_rd,racingKings_prog,racingKings_prov,ultraBullet_games,ultraBullet_rating,ultraBullet_rd,ultraBullet_prog,ultraBullet_prov,blitz_games,blitz_rating,blitz_rd,blitz_prog,blitz_prov,kingOfTheHill_games,kingOfTheHill_rating,kingOfTheHill_rd,kingOfTheHill_prog,kingOfTheHill_prov,crazyhouse_games,crazyhouse_rating,crazyhouse_rd,crazyhouse_prog,crazyhouse_prov,threeCheck_games,threeCheck_rating,threeCheck_rd,threeCheck_prog,threeCheck_prov,bullet_games,bullet_rating,bullet_rd,bullet_prog,bullet_prov,correspondence_games,correspondence_rating,correspondence_rd,correspondence_prog,correspondence_prov,classical_games,classical_rating,classical_rd,classical_prog,classical_prov,rapid_games,rapid_rating,rapid_rd,rapid_prog,rapid_prov,storm_runs,storm_score,racer_runs,racer_score,streak_runs,streak_score
christopher_snowfake,,,,,,64.0,1460.0,102.0,0.0,,,,,,,,,,,,1885.0,1165.0,48.0,-23.0,,,,,,,,,,,,,,,,,19.0,873.0,97.0,-175.0,,4.0,1240.0,205.0,0.0,True,2.0,1080.0,262.0,0.0,True,12.0,1177.0,137.0,35.0,True,,,,,15.0,12.0
tekw,,,,,,900.0,1566.0,85.0,0.0,,,,,,,,,,,,5840.0,1658.0,55.0,-13.0,,,,,,,,,,,,,,,,,1037.0,1035.0,45.0,-16.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,
technofiredragon,,,,,,2.0,1316.0,230.0,0.0,True,,,,,,,,,,,471.0,1198.0,45.0,-5.0,,,,,,,,,,,,,,,,,16.0,1012.0,114.0,-16.0,True,0.0,1500.0,500.0,0.0,True,96.0,1379.0,96.0,21.0,,82.0,1238.0,62.0,-33.0,,,,,,,
jamesw6r,1.0,1341.0,313.0,0.0,True,69.0,1283.0,106.0,0.0,,1.0,1340.0,394.0,0.0,True,,,,,,19.0,929.0,111.0,-195.0,True,,,,,,11.0,1368.0,186.0,0.0,True,27.0,1253.0,109.0,-29.0,,66.0,991.0,82.0,-19.0,,2.0,1178.0,282.0,0.0,True,1.0,1251.0,301.0,0.0,True,269.0,1260.0,83.0,-4.0,,2.0,7.0,,,,
eiontiru,,,,,,,,,,,,,,,,,,,,,1191.0,1133.0,45.0,-12.0,,,,,,,,,,,,,,,,,12.0,1066.0,125.0,36.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,2.0,851.0,253.0,0.0,True,,,,,,
nadachesscoach,,,,,,17.0,1526.0,196.0,-138.0,True,,,,,,,,,,,288.0,1686.0,73.0,-20.0,,,,,,,,,,,,,,,,,11.0,1190.0,179.0,0.0,True,6.0,1438.0,240.0,0.0,True,12.0,1364.0,175.0,-49.0,True,278.0,1491.0,113.0,147.0,True,,,,,,
frosipolosi,,,,,,2834.0,1576.0,77.0,0.0,,,,,,,,,,,,1614.0,1302.0,45.0,-5.0,,,,,,,,,,,,,,,,,6.0,875.0,166.0,0.0,True,8.0,1756.0,179.0,0.0,True,0.0,1500.0,500.0,0.0,True,20.0,1706.0,97.0,-73.0,,,,,,,
raiden27,,,,,,5805.0,1959.0,72.0,0.0,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,
maupa997,,,,,,251.0,1118.0,81.0,0.0,,,,,,,,,,,,2.0,1036.0,233.0,0.0,True,,,,,,,,,,,,,,,,17.0,1092.0,100.0,-77.0,,0.0,1500.0,500.0,0.0,True,60.0,1066.0,68.0,9.0,,0.0,1500.0,500.0,0.0,True,,,,,,
santiago_amado,,,,,,,,,,,1.0,1258.0,399.0,0.0,True,,,,,,5.0,1585.0,198.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,18.0,1638.0,117.0,-266.0,True,,,,,,
cutken,,,,,,5508.0,1929.0,71.0,0.0,,,,,,,,,,,,585.0,1369.0,46.0,-5.0,,,,,,,,,,,,,,,,,40.0,1078.0,71.0,-81.0,,0.0,1500.0,500.0,0.0,True,18.0,1475.0,159.0,68.0,True,7846.0,1853.0,45.0,27.0,,,,,,,
stanley1970,,,,,,,,,,,,,,,,,,,,,10.0,2106.0,116.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,
khaled_alqeisi,,,,,,26.0,1537.0,115.0,0.0,True,,,,,,,,,,,6.0,1463.0,145.0,0.0,True,,,,,,,,,,,,,,,,1.0,1151.0,302.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,
