id,patron,language,title,nbFollowing,nbFollowers,completionRate,chess960_games,chess960_rating,chess960_rd,chess960_prog,chess960_prov,puzzle_games,puzzle_rating,puzzle_rd,puzzle_prog,puzzle_prov,racingKings_games,racingKings_rating,racingKings_rd,racingKings_prog,racingKings_prov,ultraBullet_games,ultraBullet_rating,ultraBullet_rd,ultraBullet_prog,ultraBullet_prov,blitz_games,blitz_rating,blitz_rd,blitz_prog,blitz_prov,kingOfTheHill_games,kingOfTheHill_rating,kingOfTheHill_rd,kingOfTheHill_prog,kingOfTheHill_prov,crazyhouse_games,crazyhouse_rating,crazyhouse_rd,crazyhouse_prog,crazyhouse_prov,threeCheck_games,threeCheck_rating,threeCheck_rd,threeCheck_prog,threeCheck_prov,bullet_games,bullet_rating,bullet_rd,bullet_prog,bullet_prov,correspondence_games,correspondence_rating,correspondence_rd,correspondence_prog,correspondence_prov,classical_games,classical_rating,classical_rd,classical_prog,classical_prov,rapid_games,rapid_rating,rapid_rd,rapid_prog,rapid_prov,storm_runs,storm_score,racer_runs,racer_score,streak_runs,streak_score,profile_country,profile_location,profile_fideRating,playTime_total,playTime_tv
yy1976,,ru-RU,,0.0,1.0,87.0,,,,,,189.0,1271.0,98.0,0.0,,,,,,,3.0,925.0,218.0,0.0,True,538.0,1280.0,45.0,-11.0,,,,,,,1.0,1147.0,356.0,0.0,True,,,,,,32.0,1052.0,102.0,76.0,,0.0,1500.0,500.0,0.0,True,20.0,1478.0,128.0,-160.0,True,727.0,1460.0,45.0,0.0,,,,,,,,RU,Moscow,,1477570.0,0.0
jafar_hmeed,,ar-SA,,3.0,5.0,87.0,,,,,,2572.0,1536.0,66.0,0.0,,,,,,,,,,,,16.0,845.0,130.0,-5.0,True,,,,,,,,,,,,,,,,4.0,1161.0,184.0,0.0,True,0.0,1500.0,500.0,0.0,True,57.0,1422.0,75.0,-15.0,,127.0,1168.0,64.0,-54.0,,3.0,16.0,2.0,15.0,2.0,3.0,,,,454305.0,0.0
mansoor_k11,,en-GB,,12.0,13.0,80.0,1.0,1389.0,330.0,0.0,True,124.0,1402.0,149.0,0.0,True,,,,,,4.0,1583.0,227.0,0.0,True,330.0,1447.0,119.0,7.0,True,,,,,,,,,,,,,,,,120.0,1127.0,165.0,-8.0,True,3.0,1563.0,302.0,0.0,True,3.0,1806.0,268.0,0.0,True,1026.0,1608.0,65.0,-25.0,,,,,,,,IN,,,1059930.0,242.0
alonso_4_ma,,es-ES,,1.0,2.0,83.0,,,,,,,,,,,,,,,,,,,,,1.0,1320.0,365.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,83.0,1657.0,59.0,3.0,,,,,,,,,,,36576.0,0.0
lgr04,,de-DE,,9.0,16.0,97.0,55.0,1846.0,84.0,53.0,,2314.0,2237.0,63.0,0.0,,1.0,1662.0,302.0,0.0,True,422.0,1727.0,77.0,21.0,,3671.0,2148.0,45.0,-25.0,,14.0,1567.0,126.0,20.0,True,28.0,1356.0,115.0,21.0,True,7.0,1460.0,252.0,0.0,True,6939.0,2089.0,45.0,-25.0,,1.0,1459.0,325.0,0.0,True,6.0,2041.0,183.0,0.0,True,121.0,2241.0,62.0,6.0,,99.0,63.0,7.0,70.0,1.0,36.0,DE,,,1941036.0,955.0
mdo_chess_club,,tr-TR,,3.0,5.0,93.0,,,,,,3.0,1510.0,312.0,0.0,True,,,,,,,,,,,348.0,1889.0,71.0,-8.0,,,,,,,,,,,,,,,,,85.0,1784.0,106.0,-14.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,18.0,1866.0,129.0,58.0,True,,,,,,,TR,İzmir/Turkey,,105189.0,0.0
abdalkader212,,ar-SA,,2.0,4.0,75.0,1.0,1386.0,348.0,0.0,True,83.0,1670.0,164.0,0.0,True,,,,,,1.0,1350.0,290.0,0.0,True,2325.0,1452.0,57.0,12.0,,,,,,,,,,,,,,,,,611.0,1154.0,76.0,-71.0,,0.0,1500.0,500.0,0.0,True,4.0,1082.0,236.0,0.0,True,3846.0,1721.0,45.0,-29.0,,,,,,,,,,,2921594.0,0.0
raulgobe,,es-ES,,14.0,18.0,100.0,2.0,1500.0,325.0,0.0,True,1565.0,1810.0,70.0,0.0,,,,,,,,,,,,820.0,1849.0,61.0,2.0,,,,,,,,,,,,,,,,,33.0,1804.0,116.0,13.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,22.0,1685.0,132.0,-46.0,True,,,10.0,42.0,,,,,,321954.0,0.0
lwh,,tr-TR,,0.0,1.0,100.0,,,,,,2047.0,1469.0,75.0,0.0,,,,,,,,,,,,998.0,1190.0,45.0,-21.0,,,,,,,,,,,,,,,,,9.0,1070.0,139.0,0.0,True,0.0,1500.0,500.0,0.0,True,18.0,1294.0,174.0,-2.0,True,17.0,1341.0,182.0,-86.0,True,,,,,,,,,,276505.0,0.0
max_12345,,es-ES,,0.0,2.0,67.0,,,,,,2.0,1621.0,236.0,0.0,True,,,,,,,,,,,15.0,1241.0,112.0,-49.0,True,,,,,,2.0,1158.0,339.0,0.0,True,,,,,,7.0,873.0,143.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1337.0,302.0,0.0,True,3.0,1547.0,312.0,0.0,True,,,,,,,,,,6732.0,0.0
